Country,Region,Year, GDP_pp 
Albania,Europe,1/1/1916," 1,272.01 "
Albania,Europe,1/1/1921," 1,326.12 "
Albania,Europe,1/1/1926," 1,382.53 "
Albania,Europe,1/1/1931," 1,428.08 "
Albania,Europe,1/1/1936," 1,454.82 "
Albania,Europe,1/1/1941," 1,482.05 "
Albania,Europe,1/1/1946," 1,509.79 "
Albania,Europe,1/1/1951," 1,598.49 "
Albania,Europe,1/1/1956," 1,825.30 "
Albania,Europe,1/1/1961," 2,238.79 "
Albania,Europe,1/1/1966," 2,660.07 "
Albania,Europe,1/1/1971," 3,188.58 "
Albania,Europe,1/1/1976," 3,517.62 "
Albania,Europe,1/1/1981," 3,611.03 "
Albania,Europe,1/1/1986," 3,715.55 "
Albania,Europe,1/1/1991," 2,717.57 "
Albania,Europe,1/1/1996," 3,569.59 "
Albania,Europe,1/1/2001," 4,476.05 "
Albania,Europe,1/1/2006," 5,652.05 "
Albania,Europe,1/1/2011," 6,914.27 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1901," 1,807.76 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1906," 1,913.02 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1911," 2,024.41 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1916," 2,097.74 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1921," 2,143.49 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1926," 2,190.24 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1931," 2,238.01 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1936," 2,286.81 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1941," 2,336.69 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1946," 2,387.65 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1951," 2,397.53 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1956," 2,764.42 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1961," 3,202.96 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1966," 3,070.75 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1971," 3,559.35 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1976," 4,642.62 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1981," 5,573.38 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1986," 5,876.05 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1991," 5,061.30 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/1996," 4,824.21 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/2001," 5,156.45 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/2006," 6,022.27 "
Algeria,"Middle East, North Africa, and Greater Arabia",1/1/2011," 6,354.64 "
Andorra,Europe,1/1/1901," 3,352.50 "
Andorra,Europe,1/1/1906," 3,553.95 "
Andorra,Europe,1/1/1911," 3,767.51 "
Andorra,Europe,1/1/1916," 4,313.53 "
Andorra,Europe,1/1/1921," 5,198.77 "
Andorra,Europe,1/1/1926," 6,265.69 "
Andorra,Europe,1/1/1931," 7,551.56 "
Andorra,Europe,1/1/1936," 9,101.33 "
Andorra,Europe,1/1/1941," 10,969.16 "
Andorra,Europe,1/1/1946," 13,220.30 "
Andorra,Europe,1/1/1951," 15,933.44 "
Andorra,Europe,1/1/1956," 19,203.39 "
Andorra,Europe,1/1/1961," 23,144.40 "
Andorra,Europe,1/1/1966," 27,894.22 "
Andorra,Europe,1/1/1971," 32,191.43 "
Andorra,Europe,1/1/1976," 32,840.79 "
Andorra,Europe,1/1/1981," 28,684.58 "
Andorra,Europe,1/1/1986," 25,621.54 "
Andorra,Europe,1/1/1991," 28,091.12 "
Andorra,Europe,1/1/1996," 25,839.07 "
Andorra,Europe,1/1/2001," 33,293.00 "
Andorra,Europe,1/1/2006," 39,924.84 "
Andorra,Europe,1/1/2011," 31,630.74 "
Angola,Sub-Saharan Africa,1/1/1901, 525.76 
Angola,Sub-Saharan Africa,1/1/1906, 538.20 
Angola,Sub-Saharan Africa,1/1/1911, 550.94 
Angola,Sub-Saharan Africa,1/1/1916, 643.48 
Angola,Sub-Saharan Africa,1/1/1921, 820.64 
Angola,Sub-Saharan Africa,1/1/1926," 1,046.58 "
Angola,Sub-Saharan Africa,1/1/1931," 1,334.71 "
Angola,Sub-Saharan Africa,1/1/1936," 1,702.17 "
Angola,Sub-Saharan Africa,1/1/1941," 2,170.80 "
Angola,Sub-Saharan Africa,1/1/1946," 2,768.45 "
Angola,Sub-Saharan Africa,1/1/1951," 3,440.90 "
Angola,Sub-Saharan Africa,1/1/1956," 3,549.04 "
Angola,Sub-Saharan Africa,1/1/1961," 4,463.83 "
Angola,Sub-Saharan Africa,1/1/1966," 5,308.14 "
Angola,Sub-Saharan Africa,1/1/1971," 5,526.21 "
Angola,Sub-Saharan Africa,1/1/1976," 3,050.32 "
Angola,Sub-Saharan Africa,1/1/1981," 2,953.41 "
Angola,Sub-Saharan Africa,1/1/1986," 2,220.61 "
Angola,Sub-Saharan Africa,1/1/1991," 2,730.85 "
Angola,Sub-Saharan Africa,1/1/1996," 2,157.35 "
Angola,Sub-Saharan Africa,1/1/2001," 2,479.69 "
Angola,Sub-Saharan Africa,1/1/2006," 4,148.00 "
Angola,Sub-Saharan Africa,1/1/2011," 5,546.65 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1901, 917.85 
Antigua and Barbuda,Central America and the Caribbean,1/1/1906, 948.58 
Antigua and Barbuda,Central America and the Caribbean,1/1/1911, 980.33 
Antigua and Barbuda,Central America and the Caribbean,1/1/1916," 1,068.17 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1921," 1,205.64 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1926," 1,360.81 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1931," 1,535.94 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1936," 1,733.61 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1941," 1,956.72 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1946," 2,208.55 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1951," 2,492.79 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1956," 2,813.60 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1961," 3,175.71 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1966," 3,584.41 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1971," 4,138.47 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1976," 3,991.80 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1981," 5,882.22 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1986," 8,513.74 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1991," 11,751.60 "
Antigua and Barbuda,Central America and the Caribbean,1/1/1996," 12,104.52 "
Antigua and Barbuda,Central America and the Caribbean,1/1/2001," 12,770.74 "
Antigua and Barbuda,Central America and the Caribbean,1/1/2006," 16,223.39 "
Antigua and Barbuda,Central America and the Caribbean,1/1/2011," 13,508.80 "
Argentina,South America,1/1/1901," 3,611.77 "
Argentina,South America,1/1/1906," 4,580.22 "
Argentina,South America,1/1/1911," 4,726.01 "
Argentina,South America,1/1/1916," 3,767.94 "
Argentina,South America,1/1/1921," 4,242.31 "
Argentina,South America,1/1/1926," 4,962.42 "
Argentina,South America,1/1/1931," 4,633.64 "
Argentina,South America,1/1/1936," 4,872.97 "
Argentina,South America,1/1/1941," 5,393.04 "
Argentina,South America,1/1/1946," 5,845.22 "
Argentina,South America,1/1/1951," 6,362.13 "
Argentina,South America,1/1/1956," 6,630.03 "
Argentina,South America,1/1/1961," 7,367.29 "
Argentina,South America,1/1/1966," 7,955.97 "
Argentina,South America,1/1/1971," 9,408.19 "
Argentina,South America,1/1/1976," 9,611.92 "
Argentina,South America,1/1/1981," 9,421.94 "
Argentina,South America,1/1/1986," 9,026.86 "
Argentina,South America,1/1/1991," 8,575.87 "
Argentina,South America,1/1/1996," 10,245.38 "
Argentina,South America,1/1/2001," 9,992.71 "
Argentina,South America,1/1/2006," 11,865.58 "
Argentina,South America,1/1/2011," 15,595.39 "
Armenia,Europe,1/1/1901, 657.73 
Armenia,Europe,1/1/1906, 615.57 
Armenia,Europe,1/1/1911, 653.79 
Armenia,Europe,1/1/1916, 700.00 
Armenia,Europe,1/1/1921, 365.00 
Armenia,Europe,1/1/1926, 547.63 
Armenia,Europe,1/1/1931, 733.41 
Armenia,Europe,1/1/1936, 987.78 
Armenia,Europe,1/1/1941," 1,032.10 "
Armenia,Europe,1/1/1946, 928.35 
Armenia,Europe,1/1/1951," 1,346.23 "
Armenia,Europe,1/1/1956," 1,692.02 "
Armenia,Europe,1/1/1961," 1,926.82 "
Armenia,Europe,1/1/1966," 2,258.72 "
Armenia,Europe,1/1/1971," 2,664.76 "
Armenia,Europe,1/1/1976," 2,917.32 "
Armenia,Europe,1/1/1981," 2,827.51 "
Armenia,Europe,1/1/1986," 2,917.34 "
Armenia,Europe,1/1/1991," 2,436.61 "
Armenia,Europe,1/1/1996," 1,731.63 "
Armenia,Europe,1/1/2001," 2,328.46 "
Armenia,Europe,1/1/2006," 4,413.18 "
Armenia,Europe,1/1/2011," 4,767.39 "
Australia,Australia and Oceania,1/1/1901," 5,195.50 "
Australia,Australia and Oceania,1/1/1906," 6,100.47 "
Australia,Australia and Oceania,1/1/1911," 6,907.66 "
Australia,Australia and Oceania,1/1/1916," 6,602.49 "
Australia,Australia and Oceania,1/1/1921," 6,646.50 "
Australia,Australia and Oceania,1/1/1926," 7,542.12 "
Australia,Australia and Oceania,1/1/1931," 5,892.35 "
Australia,Australia and Oceania,1/1/1936," 7,465.37 "
Australia,Australia and Oceania,1/1/1941," 9,187.46 "
Australia,Australia and Oceania,1/1/1946," 8,925.84 "
Australia,Australia and Oceania,1/1/1951," 10,160.74 "
Australia,Australia and Oceania,1/1/1956," 10,974.13 "
Australia,Australia and Oceania,1/1/1961," 11,711.50 "
Australia,Australia and Oceania,1/1/1966," 13,860.96 "
Australia,Australia and Oceania,1/1/1971," 16,633.13 "
Australia,Australia and Oceania,1/1/1976," 18,351.07 "
Australia,Australia and Oceania,1/1/1981," 19,841.88 "
Australia,Australia and Oceania,1/1/1986," 21,168.81 "
Australia,Australia and Oceania,1/1/1991," 22,893.86 "
Australia,Australia and Oceania,1/1/1996," 26,151.13 "
Australia,Australia and Oceania,1/1/2001," 30,043.24 "
Australia,Australia and Oceania,1/1/2006," 33,204.16 "
Australia,Australia and Oceania,1/1/2011," 35,253.94 "
Austria,Europe,1/1/1901," 4,344.52 "
Austria,Europe,1/1/1906," 4,870.98 "
Austria,Europe,1/1/1911," 5,205.80 "
Austria,Europe,1/1/1916," 4,064.74 "
Austria,Europe,1/1/1921," 4,099.62 "
Austria,Europe,1/1/1926," 5,279.81 "
Austria,Europe,1/1/1931," 5,085.87 "
Austria,Europe,1/1/1936," 4,632.65 "
Austria,Europe,1/1/1941," 6,524.02 "
Austria,Europe,1/1/1946," 3,026.57 "
Austria,Europe,1/1/1951," 6,124.93 "
Austria,Europe,1/1/1956," 8,348.45 "
Austria,Europe,1/1/1961," 10,560.97 "
Austria,Europe,1/1/1966," 12,549.33 "
Austria,Europe,1/1/1971," 15,779.07 "
Austria,Europe,1/1/1976," 18,874.30 "
Austria,Europe,1/1/1981," 21,220.89 "
Austria,Europe,1/1/1986," 23,329.16 "
Austria,Europe,1/1/1991," 26,744.40 "
Austria,Europe,1/1/1996," 28,602.35 "
Austria,Europe,1/1/2001," 32,196.42 "
Austria,Europe,1/1/2006," 35,177.20 "
Austria,Europe,1/1/2011," 36,637.25 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1901, 946.05 
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1906, 891.19 
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1911, 952.71 
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1916, 940.45 
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1921, 398.65 
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1926, 943.02 
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1931," 1,096.96 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1936," 1,487.07 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1941," 1,563.95 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1946," 1,415.94 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1951," 2,066.71 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1956," 2,614.54 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1961," 2,992.92 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1966," 3,508.47 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1971," 4,139.17 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1976," 4,579.06 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1981," 4,516.07 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1986," 4,741.40 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1991," 4,528.84 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/1996," 1,843.19 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/2001," 2,775.74 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/2006," 6,174.30 "
Azerbaijan,"Middle East, North Africa, and Greater Arabia",1/1/2011," 9,218.06 "
Bahamas,Central America and the Caribbean,1/1/1901," 2,402.45 "
Bahamas,Central America and the Caribbean,1/1/1906," 2,482.88 "
Bahamas,Central America and the Caribbean,1/1/1911," 2,566.00 "
Bahamas,Central America and the Caribbean,1/1/1916," 2,890.79 "
Bahamas,Central America and the Caribbean,1/1/1921," 3,449.44 "
Bahamas,Central America and the Caribbean,1/1/1926," 4,116.06 "
Bahamas,Central America and the Caribbean,1/1/1931," 4,911.49 "
Bahamas,Central America and the Caribbean,1/1/1936," 5,860.65 "
Bahamas,Central America and the Caribbean,1/1/1941," 6,289.83 "
Bahamas,Central America and the Caribbean,1/1/1946," 6,289.83 "
Bahamas,Central America and the Caribbean,1/1/1951," 6,798.31 "
Bahamas,Central America and the Caribbean,1/1/1956," 10,027.95 "
Bahamas,Central America and the Caribbean,1/1/1961," 14,404.41 "
Bahamas,Central America and the Caribbean,1/1/1966," 18,377.29 "
Bahamas,Central America and the Caribbean,1/1/1971," 19,229.52 "
Bahamas,Central America and the Caribbean,1/1/1976," 13,458.39 "
Bahamas,Central America and the Caribbean,1/1/1981," 19,643.98 "
Bahamas,Central America and the Caribbean,1/1/1986," 22,024.19 "
Bahamas,Central America and the Caribbean,1/1/1991," 20,600.50 "
Bahamas,Central America and the Caribbean,1/1/1996," 20,329.14 "
Bahamas,Central America and the Caribbean,1/1/2001," 22,600.19 "
Bahamas,Central America and the Caribbean,1/1/2006," 23,314.07 "
Bahamas,Central America and the Caribbean,1/1/2011," 21,129.19 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1901," 1,300.80 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1906," 1,339.11 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1911," 1,378.55 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1916," 1,419.15 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1921," 1,460.94 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1926," 1,503.97 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1931," 1,548.26 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1936," 1,963.18 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1941," 3,402.79 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1946," 5,898.10 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1951," 9,508.37 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1956," 11,308.31 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1961," 12,543.97 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1966," 14,286.48 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1971," 17,331.76 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1976," 18,770.21 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1981," 18,770.08 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1986," 18,782.87 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1991," 18,146.86 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/1996," 20,101.55 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/2001," 22,630.44 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/2006," 28,478.46 "
Bahrain,"Middle East, North Africa, and Greater Arabia",1/1/2011," 24,036.73 "
Bangladesh,Asia,1/1/1901, 690.52 
Bangladesh,Asia,1/1/1906, 746.78 
Bangladesh,Asia,1/1/1911, 784.70 
Bangladesh,Asia,1/1/1916, 806.80 
Bangladesh,Asia,1/1/1921, 771.87 
Bangladesh,Asia,1/1/1926, 809.91 
Bangladesh,Asia,1/1/1931, 807.87 
Bangladesh,Asia,1/1/1936, 791.85 
Bangladesh,Asia,1/1/1941, 784.64 
Bangladesh,Asia,1/1/1946, 706.39 
Bangladesh,Asia,1/1/1951, 675.34 
Bangladesh,Asia,1/1/1956, 687.86 
Bangladesh,Asia,1/1/1961, 703.51 
Bangladesh,Asia,1/1/1966, 752.60 
Bangladesh,Asia,1/1/1971, 731.08 
Bangladesh,Asia,1/1/1976, 674.21 
Bangladesh,Asia,1/1/1981, 686.57 
Bangladesh,Asia,1/1/1986, 735.94 
Bangladesh,Asia,1/1/1991, 810.22 
Bangladesh,Asia,1/1/1996, 939.24 
Bangladesh,Asia,1/1/2001," 1,110.28 "
Bangladesh,Asia,1/1/2006," 1,333.99 "
Bangladesh,Asia,1/1/2011," 1,708.30 "
Barbados,Central America and the Caribbean,1/1/1901," 1,735.21 "
Barbados,Central America and the Caribbean,1/1/1906," 1,793.31 "
Barbados,Central America and the Caribbean,1/1/1911," 1,853.34 "
Barbados,Central America and the Caribbean,1/1/1916," 1,963.08 "
Barbados,Central America and the Caribbean,1/1/1921," 2,113.68 "
Barbados,Central America and the Caribbean,1/1/1926," 2,275.83 "
Barbados,Central America and the Caribbean,1/1/1931," 2,450.42 "
Barbados,Central America and the Caribbean,1/1/1936," 2,638.41 "
Barbados,Central America and the Caribbean,1/1/1941," 2,840.81 "
Barbados,Central America and the Caribbean,1/1/1946," 3,058.75 "
Barbados,Central America and the Caribbean,1/1/1951," 3,409.50 "
Barbados,Central America and the Caribbean,1/1/1956," 4,365.40 "
Barbados,Central America and the Caribbean,1/1/1961," 5,711.59 "
Barbados,Central America and the Caribbean,1/1/1966," 7,057.57 "
Barbados,Central America and the Caribbean,1/1/1971," 9,814.38 "
Barbados,Central America and the Caribbean,1/1/1976," 11,414.78 "
Barbados,Central America and the Caribbean,1/1/1981," 13,504.66 "
Barbados,Central America and the Caribbean,1/1/1986," 13,560.56 "
Barbados,Central America and the Caribbean,1/1/1991," 13,293.90 "
Barbados,Central America and the Caribbean,1/1/1996," 13,356.08 "
Barbados,Central America and the Caribbean,1/1/2001," 14,533.64 "
Barbados,Central America and the Caribbean,1/1/2006," 16,703.59 "
Barbados,Central America and the Caribbean,1/1/2011," 16,274.00 "
Belarus,Europe,1/1/1901," 1,042.15 "
Belarus,Europe,1/1/1906, 983.13 
Belarus,Europe,1/1/1911," 1,052.52 "
Belarus,Europe,1/1/1916," 1,040.47 "
Belarus,Europe,1/1/1921, 441.69 
Belarus,Europe,1/1/1926," 1,046.32 "
Belarus,Europe,1/1/1931," 1,218.88 "
Belarus,Europe,1/1/1936," 1,654.73 "
Belarus,Europe,1/1/1941," 1,742.79 "
Belarus,Europe,1/1/1946," 1,580.13 "
Belarus,Europe,1/1/1951," 2,309.69 "
Belarus,Europe,1/1/1956," 2,926.13 "
Belarus,Europe,1/1/1961," 3,353.47 "
Belarus,Europe,1/1/1966," 3,931.13 "
Belarus,Europe,1/1/1971," 4,637.81 "
Belarus,Europe,1/1/1976," 5,382.85 "
Belarus,Europe,1/1/1981," 5,750.74 "
Belarus,Europe,1/1/1986," 6,540.28 "
Belarus,Europe,1/1/1991," 6,693.19 "
Belarus,Europe,1/1/1996," 4,475.41 "
Belarus,Europe,1/1/2001," 6,225.16 "
Belarus,Europe,1/1/2006," 9,430.71 "
Belarus,Europe,1/1/2011," 13,248.85 "
Belgium,Europe,1/1/1901," 4,442.72 "
Belgium,Europe,1/1/1906," 4,682.47 "
Belgium,Europe,1/1/1911," 4,959.53 "
Belgium,Europe,1/1/1916," 3,388.90 "
Belgium,Europe,1/1/1921," 5,166.58 "
Belgium,Europe,1/1/1926," 6,209.34 "
Belgium,Europe,1/1/1931," 6,615.19 "
Belgium,Europe,1/1/1936," 6,529.96 "
Belgium,Europe,1/1/1941," 4,501.67 "
Belgium,Europe,1/1/1946," 6,372.25 "
Belgium,Europe,1/1/1951," 8,393.42 "
Belgium,Europe,1/1/1956," 9,529.40 "
Belgium,Europe,1/1/1961," 10,512.51 "
Belgium,Europe,1/1/1966," 12,720.18 "
Belgium,Europe,1/1/1971," 15,899.66 "
Belgium,Europe,1/1/1976," 19,019.94 "
Belgium,Europe,1/1/1981," 20,696.13 "
Belgium,Europe,1/1/1986," 22,024.75 "
Belgium,Europe,1/1/1991," 25,293.57 "
Belgium,Europe,1/1/1996," 26,725.50 "
Belgium,Europe,1/1/2001," 30,092.08 "
Belgium,Europe,1/1/2006," 32,726.99 "
Belgium,Europe,1/1/2011," 32,929.85 "
Belize,Central America and the Caribbean,1/1/1901, 925.68 
Belize,Central America and the Caribbean,1/1/1906, 956.67 
Belize,Central America and the Caribbean,1/1/1911, 988.69 
Belize,Central America and the Caribbean,1/1/1916," 1,047.23 "
Belize,Central America and the Caribbean,1/1/1921," 1,127.57 "
Belize,Central America and the Caribbean,1/1/1926," 1,214.07 "
Belize,Central America and the Caribbean,1/1/1931," 1,307.21 "
Belize,Central America and the Caribbean,1/1/1936," 1,407.50 "
Belize,Central America and the Caribbean,1/1/1941," 1,515.47 "
Belize,Central America and the Caribbean,1/1/1946," 1,631.73 "
Belize,Central America and the Caribbean,1/1/1951," 1,744.40 "
Belize,Central America and the Caribbean,1/1/1956," 1,812.27 "
Belize,Central America and the Caribbean,1/1/1961," 1,893.40 "
Belize,Central America and the Caribbean,1/1/1966," 2,049.49 "
Belize,Central America and the Caribbean,1/1/1971," 2,403.23 "
Belize,Central America and the Caribbean,1/1/1976," 3,039.69 "
Belize,Central America and the Caribbean,1/1/1981," 3,841.46 "
Belize,Central America and the Caribbean,1/1/1986," 3,554.57 "
Belize,Central America and the Caribbean,1/1/1991," 5,298.35 "
Belize,Central America and the Caribbean,1/1/1996," 5,632.53 "
Belize,Central America and the Caribbean,1/1/2001," 6,669.07 "
Belize,Central America and the Caribbean,1/1/2006," 7,454.89 "
Belize,Central America and the Caribbean,1/1/2011," 7,289.30 "
Benin,Sub-Saharan Africa,1/1/1901, 808.83 
Benin,Sub-Saharan Africa,1/1/1906, 827.97 
Benin,Sub-Saharan Africa,1/1/1911, 847.56 
Benin,Sub-Saharan Africa,1/1/1916, 873.43 
Benin,Sub-Saharan Africa,1/1/1921, 904.10 
Benin,Sub-Saharan Africa,1/1/1926, 935.85 
Benin,Sub-Saharan Africa,1/1/1931, 968.71 
Benin,Sub-Saharan Africa,1/1/1936," 1,002.73 "
Benin,Sub-Saharan Africa,1/1/1941," 1,037.94 "
Benin,Sub-Saharan Africa,1/1/1946," 1,074.39 "
Benin,Sub-Saharan Africa,1/1/1951," 1,083.57 "
Benin,Sub-Saharan Africa,1/1/1956, 980.06 
Benin,Sub-Saharan Africa,1/1/1961," 1,006.39 "
Benin,Sub-Saharan Africa,1/1/1966," 1,051.67 "
Benin,Sub-Saharan Africa,1/1/1971," 1,024.93 "
Benin,Sub-Saharan Africa,1/1/1976," 1,002.19 "
Benin,Sub-Saharan Africa,1/1/1981," 1,186.70 "
Benin,Sub-Saharan Africa,1/1/1986," 1,285.08 "
Benin,Sub-Saharan Africa,1/1/1991," 1,181.65 "
Benin,Sub-Saharan Africa,1/1/1996," 1,202.15 "
Benin,Sub-Saharan Africa,1/1/2001," 1,333.30 "
Benin,Sub-Saharan Africa,1/1/2006," 1,398.56 "
Benin,Sub-Saharan Africa,1/1/2011," 1,448.86 "
Bhutan,Asia,1/1/1901, 625.21 
Bhutan,Asia,1/1/1906, 630.93 
Bhutan,Asia,1/1/1911, 636.69 
Bhutan,Asia,1/1/1916, 642.51 
Bhutan,Asia,1/1/1921, 648.38 
Bhutan,Asia,1/1/1926, 654.30 
Bhutan,Asia,1/1/1931, 660.28 
Bhutan,Asia,1/1/1936, 666.31 
Bhutan,Asia,1/1/1941, 672.40 
Bhutan,Asia,1/1/1946, 678.54 
Bhutan,Asia,1/1/1951, 690.41 
Bhutan,Asia,1/1/1956, 726.05 
Bhutan,Asia,1/1/1961, 763.52 
Bhutan,Asia,1/1/1966, 802.93 
Bhutan,Asia,1/1/1971, 828.28 
Bhutan,Asia,1/1/1976, 783.53 
Bhutan,Asia,1/1/1981, 948.71 
Bhutan,Asia,1/1/1986," 1,177.59 "
Bhutan,Asia,1/1/1991," 1,804.67 "
Bhutan,Asia,1/1/1996," 2,456.12 "
