,Time_Stamp,A,B,C,D,SITUACAO,Z
114,2022-01-10 07:45:05,50,54,55,58,2,12.104722222222222
115,2022-01-10 08:45:14,49,53,54,58,2,1.0025
116,2022-01-10 09:45:21,49,53,53,58,2,1.0019444444444443
117,2022-01-10 10:45:26,49,52,53,58,2,1.0013888888888889
118,2022-01-10 11:45:32,48,52,52,58,2,1.0016666666666667
119,2022-01-15 09:08:28,226,236,260,59,2,117.38222222222224
120,2022-01-15 10:31:02,230,240,266,59,2,1.376111111111111
121,2022-01-15 11:31:11,234,244,269,59,2,1.0025
122,2022-01-15 12:31:17,233,243,266,59,2,1.0016666666666667
123,2022-01-15 14:28:59,236,246,269,59,2,1.961666666666667
124,2022-01-15 15:29:05,235,246,265,59,2,1.0016666666666667
125,2022-01-15 16:29:13,233,243,262,59,2,1.002222222222222
126,2022-01-15 17:29:20,230,241,259,59,2,1.0019444444444443
127,2022-01-15 19:34:59,225,235,253,59,2,2.0941666666666667
128,2022-01-15 20:35:04,222,232,249,59,2,1.0013888888888889
129,2022-01-15 23:32:00,209,220,233,59,2,2.948888888888889
130,2022-01-16 01:05:18,201,212,222,59,2,1.555
131,2022-01-16 02:05:24,197,207,217,59,2,1.0016666666666667
132,2022-01-16 03:05:30,192,202,211,59,2,1.0016666666666667
133,2022-01-16 04:05:35,188,198,206,59,2,1.0013888888888889
134,2022-01-16 06:57:37,176,186,193,59,2,2.8672222222222223
135,2022-01-16 07:57:42,173,182,189,59,2,1.0013888888888889
136,2022-01-16 10:50:04,162,171,178,59,2,2.872777777777778
137,2022-01-16 11:50:13,159,167,174,59,2,1.0025
138,2022-01-16 12:50:19,156,164,171,59,2,1.0016666666666667
139,2022-01-16 15:32:30,149,157,162,59,2,2.703055555555556
140,2022-01-16 17:29:44,144,152,157,59,2,1.9538888888888888
141,2022-01-16 18:33:42,141,149,154,59,2,1.066111111111111
142,2022-01-16 19:33:47,138,146,151,59,2,1.0013888888888889
143,2022-01-16 20:33:57,136,144,148,59,2,1.0027777777777778
144,2022-01-16 21:34:02,133,141,145,59,2,1.0013888888888889
145,2022-01-16 22:34:08,130,138,142,59,2,1.0016666666666667
146,2022-01-16 23:34:13,127,135,139,59,2,1.0013888888888889
147,2022-01-17 01:47:06,122,130,133,59,2,2.214722222222222
148,2022-01-17 02:47:13,119,128,131,59,2,1.0019444444444443
149,2022-01-17 09:55:41,105,113,116,59,2,7.141111111111111
150,2022-01-17 11:27:10,103,111,113,59,2,1.5247222222222223
151,2022-01-17 12:27:16,102,109,112,59,2,1.0016666666666667
152,2022-01-17 13:27:23,101,108,111,59,2,1.0019444444444443
153,2022-01-17 14:27:29,100,107,110,59,2,1.0016666666666667
154,2022-01-17 15:27:34,99,107,109,59,2,1.0013888888888889
155,2022-01-17 16:27:39,99,106,107,59,2,1.0013888888888889
156,2022-01-17 19:30:33,96,102,104,59,2,3.0483333333333333
157,2022-01-17 21:12:18,93,100,101,59,2,1.6958333333333333
158,2022-01-17 22:12:28,91,98,100,59,2,1.0027777777777778
159,2022-01-17 23:12:35,89,96,98,59,2,1.0019444444444443
160,2022-01-18 00:12:43,87,94,96,59,2,1.002222222222222
161,2022-01-18 02:02:08,84,91,93,59,2,1.823611111111111
162,2022-01-18 05:29:56,79,85,87,59,2,3.4633333333333334
163,2022-01-18 07:04:03,77,83,85,59,2,1.5686111111111112
164,2022-01-18 08:04:09,75,82,83,59,2,1.0016666666666667
165,2022-01-18 10:34:26,73,80,81,59,2,2.504722222222222
166,2022-01-18 11:34:32,73,79,80,59,2,1.0016666666666667
167,2022-01-18 12:34:38,73,79,79,59,2,1.0016666666666667
168,2022-01-18 13:34:47,73,79,79,59,2,1.0025
169,2022-01-18 14:34:52,73,79,79,59,2,1.0013888888888889
170,2022-01-18 15:35:00,73,78,79,59,2,1.002222222222222
171,2022-01-18 17:42:13,73,78,78,59,2,2.120277777777778
172,2022-01-18 19:55:47,73,77,77,59,2,2.226111111111111
173,2022-01-18 22:55:27,70,75,75,59,2,2.9944444444444445
174,2022-01-18 23:55:35,69,74,74,59,2,1.002222222222222
175,2022-01-19 04:45:20,62,67,68,59,2,4.829166666666667
176,2022-01-19 05:45:26,61,66,67,59,2,1.0016666666666667
177,2022-01-19 06:45:35,60,65,66,59,2,1.0025
178,2022-01-19 07:45:39,59,64,65,59,2,1.001111111111111
179,2022-01-19 11:59:39,56,61,61,59,2,4.233333333333333
180,2022-01-19 15:09:15,57,61,61,59,2,3.16
181,2022-01-19 18:09:43,59,62,62,59,2,3.0077777777777777
182,2022-01-19 20:09:53,60,63,62,59,2,2.0027777777777778
183,2022-01-19 21:54:29,60,63,62,59,2,1.7433333333333334
184,2022-01-19 22:54:37,59,62,61,59,2,1.002222222222222
185,2022-01-19 23:54:42,58,61,61,59,2,1.0013888888888889
186,2022-01-20 00:54:50,58,61,60,59,2,1.002222222222222
187,2022-01-20 02:54:14,56,59,59,59,2,1.99
188,2022-01-20 05:50:11,54,57,57,59,2,2.9325
189,2022-01-20 07:02:48,53,56,56,59,2,1.2102777777777778
190,2022-01-20 08:02:53,52,56,56,59,2,1.0013888888888889
191,2022-01-20 09:17:11,52,55,55,59,2,1.2383333333333333
192,2022-01-20 11:25:10,52,55,55,59,2,2.1330555555555555
193,2022-01-25 23:01:27,247,257,276,60,2,131.60472222222222
194,2022-01-26 00:01:34,241,251,267,60,2,1.0019444444444443
195,2022-01-26 02:32:24,227,237,249,60,2,2.513888888888889
196,2022-01-26 03:32:29,221,231,243,60,2,1.0013888888888889
197,2022-01-26 04:32:38,216,226,237,60,2,1.0025
198,2022-01-26 05:32:46,211,221,231,60,2,1.002222222222222
199,2022-01-26 07:16:09,203,212,222,60,2,1.7230555555555556
200,2022-01-26 08:16:16,198,208,217,60,2,1.0019444444444443
